;Unnamed: 0;atletas.nome;atletas.slug;atletas.apelido;atletas.foto;atletas.atleta_id;atletas.rodada_id;atletas.clube_id;atletas.posicao_id;atletas.status_id;atletas.pontos_num;atletas.preco_num;atletas.variacao_num;atletas.media_num;atletas.jogos_num;atletas.clube.id.full.name;A;DS;FC;FD;FF;FS;G;I;PI;CA;FT;SG;GC;GS;DD;DP;CV;PP;rodada
456;457;Thiago Neves Augusto;thiago-neves;Thiago Neves;https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png;38277;30;292;mei;Provável;0.0;4.44;0.0;2.51;21;292;2.0;9.0;10.0;10.0;12.0;11.0;4.0;0.0;145.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
457;458;Weverton Pereira da Silva;weverton;Weverton;https://s.glbimg.com/es/sde/f/2019/10/03/58aa0eddfe8c9c684344f4231a233ddf_FORMATO.png;71631;30;275;gol;Provável;0.0;9.53;0.0;2.6;22;275;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;191.0;0.0;0.0;9.0;0.0;19.0;17.0;0.0;0.0;0.0;rodada-30.csv
458;459;Leandro Castan da Silva;leandro-castan;Leandro Castan;https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png;38505;30;267;zag;Provável;-0.4;11.82;-0.59;2.84;20;267;0.0;39.0;23.0;1.0;1.0;19.0;0.0;0.0;84.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
459;460;Ronaldo Henrique Ferreira da Silva;ronaldo-henrique;Ronaldo Henrique;https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png;85149;30;292;mei;Dúvida;-1.0;2.46;-0.06;0.4;16;292;0.0;18.0;20.0;0.0;4.0;12.0;0.0;0.0;49.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
460;461;Carlos Emiliano Pereira;carlinhos;Carlinhos;https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png;63194;30;356;lat;Provável;-5.3;5.08;-1.48;2.26;19;356;0.0;26.0;30.0;0.0;3.0;23.0;0.0;2.0;121.0;2.0;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
461;462;Vinicius Silvestre da Costa;vinicius-silvestre;Vinicius Silvestre;https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png;85083;30;275;gol;Nulo;0.0;3.0;0.0;0.0;0;275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
462;463;Leandro Barcia Montero;leandro-barcia;Leandro Barcia;https://s.glbimg.com/es/sde/f/2020/02/27/78521d3f41f6e49002ef62386b998bb7_FORMATO.png;91242;30;292;ata;Contundido;0.0;7.56;0.0;2.94;16;292;0.0;26.0;19.0;6.0;6.0;20.0;3.0;6.0;86.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
463;464;Leonardo Gomes da Conceição Silva;leonardo;Leonardo;https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png;86973;30;284;lat;Nulo;0.0;6.0;0.0;0.0;0;284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
464;465;Sander Henrique Bortolotto;sander;Sander;https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png;86391;30;292;lat;Provável;-0.4;7.86;-0.29;2.48;18;292;0.0;47.0;18.0;1.0;3.0;38.0;0.0;0.0;129.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;rodada-30.csv
465;466;Bruno Roberto Pereira da Silva;bruninho;Bruninho;https://s.glbimg.com/es/sde/f/2020/07/19/a8a4dd85c718d51ded9273e2453ecfd5_FORMATO.png;101716;30;292;mei;Nulo;0.0;3.43;0.0;1.09;12;292;0.0;7.0;5.0;3.0;3.0;3.0;0.0;1.0;23.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
466;467;Bruno Nunes de Barros;bruno-tubarao;Bruno Tubarão;https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png;93637;30;280;mei;Nulo;-0.5;3.45;-0.04;2.26;22;280;1.0;33.0;16.0;5.0;12.0;13.0;1.0;2.0;96.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
467;468;Gustavo Raúl Gómez Portillo;gustavo-gomez;Gustavo Gómez;https://s.glbimg.com/es/sde/f/2020/03/09/d8945e5024344014b96d64adab91f4da_FORMATO.png;71684;30;275;zag;Contundido;0.0;11.15;0.0;3.29;16;275;1.0;27.0;21.0;2.0;5.0;15.0;1.0;9.0;52.0;3.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;rodada-30.csv
